Código IBGE,,Município,UF,Mortalidade Infantil até 5 Anos,posição estadual
5000252,500025,Alcinópolis (MS),MS,"21875,0000000",
4204103,420410,Caxambu do Sul (SC),SC,"15625,0000000",
4300661,430066,André da Rocha (RS),RS,"15625,0000000",
4314134,431413,Paulo Bento (RS),RS,"15625,0000000",
3106606,310660,Bertópolis (MG),MG,"79,5525809",
1400027,140002,Amajari (RR),RR,"76,4766240",
4322855,432285,Vespasiano Corrêa (RS),RS,"74,6853147",
1200435,120043,Santa Rosa do Purus (AC),AC,"74,4604240",
1400050,140005,Alto Alegre (RR),RR,"73,8960083",
5102603,510260,Campinápolis (MT),MT,"73,3237754",
3513306,351330,Cruzália (SP),SP,"69,2640693",645
4305934,430593,Coronel Pilar (RS),RS,"67,3400673",
3144375,314437,Natalândia (MG),MG,"62,3518255",
4312351,431235,Montauri (RS),RS,"62,2650376",
2304277,230427,Ereré (CE),CE,"60,8206245",
4321493,432149,Toropi (RS),RS,"60,0000000",
5106174,510617,Nova Nazaré (MT),MT,"59,8038400",
3124609,312460,Estrela Dalva (MG),MG,"58,6206897",
5107297,510729,São José do Povo (MT),MT,"57,9185520",
3145406,314540,Olaria (MG),MG,"56,4514052",
2513984,251398,São Francisco (PB),PB,"52,3059902",
2206357,220635,Milton Brandão (PI),PI,"52,0518697",
5105309,510530,Luciara (MT),MT,"51,7305407",
4313011,431301,Nova Candelária (RS),RS,"51,5823257",
5103908,510390,General Carneiro (MT),MT,"51,3830818",
5101852,510185,Bom Jesus do Araguaia (MT),MT,"50,0400745",
1718659,171865,Rio da Conceição (TO),TO,"49,9103943",
3138351,313835,Leme do Prado (MG),MG,"49,0977210",
2510659,251065,Parari (PB),PB,"48,8095238",
2211506,221150,Vera Mendes (PI),PI,"48,2879064",
3115607,311560,Cedro do Abaeté (MG),MG,"47,7272727",
3547205,354720,Santana da Ponte Pensa (SP),SP,"47,6190476",644
1300201,130020,Atalaia do Norte (AM),AM,"47,1757314",
5219209,521920,Santa Cruz de Goiás (GO),GO,"47,0085470",
4305603,430560,Colorado (RS),RS,"46,9492145",
3157658,315765,Santa Helena de Minas (MG),MG,"46,6438637",
2918555,291855,Jussari (BA),BA,"46,4810924",
3527256,352725,Lourdes (SP),SP,"46,4743590",643
4210852,421085,Mirim Doce (SC),SC,"46,3191024",
2210375,221037,São Luis do Piauí (PI),PI,"46,0970626",
4202503,420250,Bom Jardim da Serra (SC),SC,"45,5357143",
1400209,140020,Caracaraí (RR),RR,"45,4516909",
4320578,432057,Sete de Setembro (RS),RS,"45,3216374",
5205059,520505,Castelândia (GO),GO,"45,0103520",
3162302,316230,São João da Mata (MG),MG,"44,8435973",
4202438,420243,Bocaina do Sul (SC),SC,"44,8081283",
5212253,521225,Lagoa Santa (GO),GO,"44,2307692",
1200344,120034,Manoel Urbano (AC),AC,"44,1091185",
2514552,251455,São José de Princesa (PB),PB,"43,4612902",
4215406,421540,Salto Veloso (SC),SC,"43,3906411",
1712157,171215,Lavandeira (TO),TO,"43,2873617",
4212056,421205,Palmeira (SC),SC,"43,1835637",
2403756,240375,Fernando Pedroza (RN),RN,"43,1101839",
3113107,311310,Caranaíba (MG),MG,"42,9380764",
5107792,510779,Santo Antônio do Leste (MT),MT,"42,8770791",
3155009,315500,Rio Doce (MG),MG,"42,5408094",
3537701,353770,Piacatu (SP),SP,"42,3410920",642
3549300,354930,São João do Pau d'Alho (SP),SP,"42,3387097",641
3150000,315000,Pescador (MG),MG,"42,2317045",
3124708,312470,Estrela do Indaiá (MG),MG,"42,1626984",
4317756,431775,Santo Antônio do Planalto (RS),RS,"42,1195652",
