Cidade,UF,,,População,População sem Água,População sem Esgoto,População sem coleta de lixo
Cachoeiro de Itapemirim,ES,Cachoeiro de Itapemirim/ES,320120,185786,"0,00%","0,00%","4,69%"
Votuporanga,SP,Votuporanga/SP,355710,96634,"0,00%","0,00%","2,64%"
Ubarana,SP,Ubarana/SP,355535,5365,"0,00%","0,00%",0%
Trabiju,SP,Trabiju/SP,355475,1682,"0,00%","0,00%","5,11%"
Taquaral,SP,Taquaral/SP,355365,2619,"0,00%","0,00%","4,12%"
Dona Euzébia,MG,Dona Euzébia/MG,312290,6093,"14,85%",0%,"1,20%"
Paranaiguara,GO,Paranaiguara/GO,521630,7607,0%,0%,"7,82%"
Chapadão do Céu,GO,Chapadão do Céu/GO,520547,12870,0%,0%,"13,56%"
Rondonópolis,MT,Rondonópolis/MT,510760,244911,0%,0%,"0,27%"
São Gabriel do Oeste,MS,São Gabriel do Oeste/MS,500769,29579,0%,0%,"6,41%"
Santiago,RS,Santiago/RS,431740,48938,"8,17%",0%,0%
Pinhal Grande,RS,Pinhal Grande/RS,431447,3805,0%,0%,"54,90%"
São Ludgero,SC,São Ludgero/SC,421700,13509,"10,80%",0%,"0,58%"
Pinhais,PR,Pinhais/PR,411915,127019,0%,0%,0%
Jussara,PR,Jussara/PR,411300,6690,0%,0%,"10,37%"
Flórida,PR,Flórida/PR,410810,2652,0%,0%,"8,71%"
Amaporã,PR,Amaporã/PR,410090,4762,"0,02%",0%,"20,39%"
Taiúva,SP,Taiúva/SP,355320,6548,"0,00%","0,00%",0%
Taiaçu,SP,Taiaçu/SP,355310,5677,"0,00%","0,00%","9,42%"
Tabapuã,SP,Tabapuã/SP,355260,11323,"0,00%","0,00%",0%
Serrana,SP,Serrana/SP,355150,43909,"0,00%","0,00%","1,06%"
São José do Rio Pardo,SP,São José do Rio Pardo/SP,354970,52205,"0,00%","0,00%","1,03%"
São José da Bela Vista,SP,São José da Bela Vista/SP,354950,7626,"0,00%","0,00%","10,77%"
São Carlos,SP,São Carlos/SP,354890,254857,"0,00%","0,00%","0,01%"
São Caetano do Sul,SP,São Caetano do Sul/SP,354880,165655,"0,00%","0,00%",0%
Santópolis do Aguapeí,SP,Santópolis do Aguapeí/SP,354840,3899,"0,00%","0,00%",0%
Santo Antônio da Alegria,SP,Santo Antônio da Alegria/SP,354790,6775,"0,00%","0,00%",0%
