,"
UF","
Código do Município","
Município",Fevereiro/2025,Pop IBGE 2024,%,
,RO,110001,Ro-Alta Floresta D Oeste,2.341,22.853,"10,24%",
,RO,110002,Ro-Ariquemes,19.914,108.573,"18,34%",
,RO,110003,Ro-Cabixi,605,5.690,"10,63%",
,RO,110004,Ro-Cacoal,18.654,97.637,"19,11%",
,RO,110005,Ro-Cerejeiras,2.483,16.975,"14,63%",
,RO,110006,Ro-Colorado do Oeste,2.088,16.588,"12,59%",
,RO,110007,Ro-Corumbiara,1.653,8.001,"20,66%",
,RO,110008,Ro-Costa Marques,692,13.522,"5,12%",
,RO,110009,Ro-Espigao D Oeste,5.002,32.717,"15,29%",
,RO,110010,Ro-Guajara-Mirim,4.443,43.553,"10,20%",
,RO,110011,Ro-Jaru,11.056,55.583,"19,89%",
,RO,110012,Ro-Ji-Parana,31.271,139.359,"22,44%",
,RO,110013,Ro-Machadinho D Oeste,2.865,34.063,"8,41%",
,RO,110014,Ro-Nova Brasilandia D Oeste,1.650,16.504,"10,00%",
,RO,110015,Ro-Ouro Preto do Oeste,5.138,38.681,"13,28%",
,RO,110018,Ro-Pimenta Bueno,10.368,39.053,"26,55%",
,RO,110020,Ro-Porto Velho,101.701,514.873,"19,75%",
,RO,110025,Ro-Presidente Medici,2.614,20.518,"12,74%",
,RO,110026,Ro-Rio Crespo,606,3.753,"16,15%",
,RO,110028,Ro-Rolim de Moura,13.234,62.559,"21,15%",
,RO,110029,Ro-Santa Luzia D Oeste,733,7.877,"9,31%",
,RO,110030,Ro-Vilhena,27.061,108.528,"24,93%",
,RO,110032,Ro-Sao Miguel do Guapore,3.169,22.267,"14,23%",
,RO,110033,Ro-Nova Mamore,1.400,28.496,"4,91%",
,RO,110034,Ro-Alvorada D Oeste,910,13.837,"6,58%",
,RO,110037,Ro-Alto Alegre dos Parecis,767,12.263,"6,25%",
,RO,110040,Ro-Alto Paraiso,1.312,17.463,"7,51%",
,RO,110045,Ro-Buritis,3.230,30.729,"10,51%",
,RO,110050,Ro-Novo Horizonte do Oeste,700,8.056,"8,69%",
,RO,110060,Ro-Cacaulandia,287,4.345,"6,61%",
,RO,110070,Ro-Campo Novo de Rondonia,522,9.225,"5,66%",
,RO,110080,Ro-Candeias do Jamari,2.298,24.163,"9,51%",
,RO,110090,Ro-Castanheiras,344,3.456,"9,95%",
,RO,110092,Ro-Chupinguaia,2.877,10.129,"28,40%",
,RO,110094,Ro-Cujubim,1.484,15.883,"9,34%",
,RO,110100,Ro-Governador Jorge Teixeira,603,8.420,"7,16%",
,RO,110110,Ro-Itapua do Oeste,1.192,9.209,"12,94%",
,RO,110120,Ro-Ministro Andreazza,894,6.657,"13,43%",
,RO,110130,Ro-Mirante da Serra,1.014,9.740,"10,41%",
,RO,110140,Ro-Monte Negro,907,12.241,"7,41%",
,RO,110143,Ro-Nova Uniao,464,6.577,"7,05%",
,RO,110145,Ro-Parecis,585,4.390,"13,33%",
,RO,110146,Ro-Pimenteiras do Oeste,460,2.311,"19,90%",
,RO,110147,Ro-Primavera da Rondonia,188,3.279,"5,73%",1
,RO,110148,Ro-Sao Felipe D Oeste,341,5.605,"6,08%",
,RO,110149,Ro-Sao Francisco do Guapore,1.526,17.511,"8,71%",
,RO,110150,Ro-Seringueiras,811,12.954,"6,26%",
,RO,110155,Ro-Teixeiropolis,305,4.536,"6,72%",
,RO,110160,Ro-Theobroma,978,8.540,"11,45%",
,RO,110170,Ro-Urupa,1.182,11.377,"10,39%",
,RO,110175,Ro-Vale do Anari,440,8.265,"5,32%",
,RO,110180,Ro-Vale do Paraiso,463,6.843,"6,77%",
,AC,120001,Ac-Acrelandia,1.062,14.657,"7,25%",
,AC,120005,Ac-Assis Brasil,401,8.573,"4,68%",
,AC,120010,Ac-Brasileia,2.295,27.841,"8,24%",
,AC,120013,Ac-Bujari,1.928,13.766,"14,01%",
,AC,120017,Ac-Capixaba,694,10.922,"6,35%",
,AC,120020,Ac-Cruzeiro do Sul,8.742,98.382,"8,89%",
,AC,120025,Ac-Epitaciolandia,2.449,19.739,"12,41%",
,AC,120030,Ac-Feijo,1.512,37.644,"4,02%",
,AC,120032,Ac-Jordao,600,9.787,"6,13%",
,AC,120033,Ac-Mancio Lima,415,20.329,"2,04%",
,AC,120034,Ac-Manoel Urbano,286,12.776,"2,24%",
,AC,120035,Ac-Marechal Thaumaturgo,111,17.951,"0,62%",
,AC,120038,Ac-Placido de Castro,2.213,17.127,"12,92%",
,AC,120039,Ac-Porto Walter,496,11.275,"4,40%",
,AC,120040,Ac-Rio Branco,76.781,387.852,"19,80%",
,AC,120042,Ac-Rodrigues Alves,503,15.537,"3,24%",
,AC,120043,Ac-Santa Rosa do Purus,22,7.143,"0,31%",
,AC,120045,Ac-Senador Guiomard,2.753,22.352,"12,32%",
,AC,120050,Ac-Sena Madureira,4.139,43.916,"9,42%",
,AC,120060,Ac-Tarauaca,1.180,46.517,"2,54%",
,AC,120070,Ac-Xapuri,911,19.090,"4,77%",
,AC,120080,Ac-Porto Acre,721,17.455,"4,13%",
,AM,130002,Am-Alvaraes,77,16.670,"0,46%",
,AM,130006,Am-Amatura,17,11.411,"0,15%",
,AM,130008,Am-Anama,18,10.318,"0,17%",
,AM,130010,Am-Anori,522,17.932,"2,91%",
,AM,130014,Am-Apui,624,21.735,"2,87%",
,AM,130020,Am-Atalaia do Norte,84,15.892,"0,53%",
,AM,130030,Am-Autazes,426,45.328,"0,94%",
,AM,130040,Am-Barcelos,188,18.626,"1,01%",
,AM,130050,Am-Barreirinha,281,33.436,"0,84%",
,AM,130060,Am-Benjamin Constant,1.244,40.509,"3,07%",
,AM,130063,Am-Beruri,34,22.136,"0,15%",
,AM,130068,Am-Boa Vista do Ramos,106,25.769,"0,41%",
,AM,130070,Am-Boca do Acre,2.197,38.246,"5,74%",
,AM,130080,Am-Borba,252,34.879,"0,72%",
,AM,130083,Am-Caapiranga,9,14.310,"0,06%",
,AM,130090,Am-Canutama,100,17.885,"0,56%",
,AM,130100,Am-Carauari,293,30.892,"0,95%",
,AM,130110,Am-Careiro,394,32.442,"1,21%",
,AM,130115,Am-Careiro da Varzea,17,19.809,"0,09%",
,AM,130120,Am-Coari,1.962,73.820,"2,66%",
,AM,130130,Am-Codajas,116,24.451,"0,47%",
,AM,130140,Am-Eirunepe,538,35.534,"1,51%",
,AM,130150,Am-Envira,138,17.920,"0,77%",
,AM,130160,Am-Fonte Boa,98,27.875,"0,35%",
,AM,130165,Am-Guajara,86,14.332,"0,60%",
,AM,130170,Am-Humaita,3.178,62.312,"5,10%",
,AM,130180,Am-Ipixuna,44,25.458,"0,17%",
,AM,130185,Am-Iranduba,4.573,67.114,"6,81%",
,AM,130190,Am-Itacoatiara,5.621,112.520,"5,00%",
,AM,130195,Am-Itamarati,51,11.730,"0,43%",
,AM,130200,Am-Itapiranga,212,10.805,"1,96%",
,AM,130210,Am-Japura,685,9.397,"7,29%",
,AM,130220,Am-Jurua,61,11.152,"0,55%",
,AM,130230,Am-Jutai,92,27.656,"0,33%",
,AM,130240,Am-Labrea,1.147,48.927,"2,34%",
,AM,130250,Am-Manacapuru,4.279,110.691,"3,87%",
,AM,130255,Am-Manaquiri,122,17.009,"0,72%",
