co_municipio,,no_municipio,uf,ano,rede,saeb_matematica,saeb_lingua_portuguesa,saeb_padronizado,ideb,posição estadual,ideb_meta,etapa
2708105,270810,Santana do Mundaú,AL,2023,Municipal,404.89,357.96,9.299333,9.3,,,Anos Finais
2310951,231095,Pires Ferreira,CE,2023,Municipal,390.76,362.02,9213,9.2,,,Anos Finais
2304269,230426,Deputado Irapuan Pinheiro,CE,2023,Municipal,388.58,341.35,8.832167,8.8,,,Anos Finais
2702306,270230,Coruripe,AL,2023,Municipal,388.81,335.4,8.736833,8.7,,,Anos Finais
2303659,230365,Catunda,CE,2023,Municipal,390.4,319.21,8.4935,8.4,,,Anos Finais
2709301,270930,União dos Palmares,AL,2023,Municipal,383.98,318.02,8.366667,8.4,,,Anos Finais
2301257,230125,Ararendá,CE,2023,Municipal,376.44,322.93,8.322833,8.3,,,Anos Finais
2309409,230940,Novo Oriente,CE,2023,Municipal,365.09,329.23,8.238667,8.2,,,Anos Finais
2312908,231290,Sobral,CE,2023,Municipal,354.23,318.34,7.876167,7.9,,,Anos Finais
2307254,230725,Jijoca de Jericoacoara,CE,2023,Municipal,344.42,324.09,7.8085,7.8,,,Anos Finais
2708303,270830,São José da Laje,AL,2023,Municipal,361.68,303.7,7.756333,7.8,,,Anos Finais
2308609,230860,Monsenhor Tabosa,CE,2023,Municipal,345.32,319.27,7.743167,7.5,,,Anos Finais
2308351,230835,Milhã,CE,2023,Municipal,334.21,322.7,7.615167,7.4,,,Anos Finais
2305605,230560,Independência,CE,2023,Municipal,320.25,316.01,7271,7.3,,,Anos Finais
2313203,231320,Tamboril,CE,2023,Municipal,343.88,303.18,7451,7.3,,,Anos Finais
2709152,270915,Teotônio Vilela,AL,2023,Municipal,331.92,305.85,7.296167,7.3,,,Anos Finais
2304251,230425,Cruz,CE,2023,Municipal,329.34,305.53,7.247833,7.2,,,Anos Finais
2203305,220330,Demerval Lobão,PI,2023,Municipal,317.73,305.63,7056,7.0,,,Anos Finais
4207650,420765,Iporã do Oeste,SC,2023,Municipal,326.93,305.09,7.200333,7.0,,,Anos Finais
2305654,230565,Ipaporanga,CE,2023,Municipal,321.65,296.65,6.971667,6.9,,,Anos Finais
4319752,431975,São Vendelino,RS,2023,Municipal,308.93,302.83,6.862667,6.9,,,Anos Finais
2201903,220190,Bom Jesus,PI,2023,Municipal,306.29,307.73,6.900333,6.8,,,Anos Finais
3522703,352270,Itápolis,SP,2023,Municipal,305.28,307.43,6.8785,6.8,1,,Anos Finais
2604155,260415,Casinhas,PE,2023,Municipal,353.28,308.63,7.6985,6.7,,,Anos Finais
3512209,351220,Conchal,SP,2023,Municipal,310.45,306.98,6.957167,6.6,2,,Anos Finais
3515129,351512,Emilianópolis,SP,2023,Municipal,308.53,287.87,6.606667,6.6,3,,Anos Finais
4314423,431442,Picada Café,RS,2023,Municipal,302.7,293.04,6.595667,6.6,,,Anos Finais
2202026,220202,Buriti dos Montes,PI,2023,Municipal,295.22,294.07,6.488167,6.5,,,Anos Finais
2309201,230920,Nova Olinda,CE,2023,Municipal,315.11,280.36,6.591167,6.5,,,Anos Finais
2310506,231050,Pedra Branca,CE,2023,Municipal,306.36,286.15,6.541833,6.5,,,Anos Finais
2602308,260230,Bonito,PE,2023,Municipal,321.34,278.32,6661,6.5,,,Anos Finais
3303005,330300,Miracema,RJ,2023,Municipal,302.86,295.89,6.645833,6.5,1,,Anos Finais
3500600,350060,Águas de São Pedro,SP,2023,Municipal,305.35,290.32,6.5945,6.5,4,,Anos Finais
4305934,430593,Coronel Pilar,RS,2023,Municipal,294.66,296.07,6.512167,6.5,,,Anos Finais
2302305,230230,Bela Cruz,CE,2023,Municipal,296.22,286.23,6.374167,6.4,,,Anos Finais
2302503,230250,Brejo Santo,CE,2023,Municipal,308.55,275.93,6408,6.4,,,Anos Finais
2304905,230490,Groaíras,CE,2023,Municipal,292.91,288.94,6.364167,6.4,,,Anos Finais
2513943,251394,São Domingos do Cariri,PB,2023,Municipal,289.35,295.42,6.412833,6.4,,,Anos Finais
2601805,260180,Betânia,PE,2023,Municipal,303.1,286.48,6493,6.4,,,Anos Finais
2610202,261020,Panelas,PE,2023,Municipal,322.46,286.09,6.809167,6.4,,,Anos Finais
2703759,270375,Jequiá da Praia,AL,2023,Municipal,317.84,270.8,6.477333,6.4,,,Anos Finais
3501806,350180,Américo de Campos,SP,2023,Municipal,305.45,282.44,6.464833,6.4,5,,Anos Finais
3530607,353060,Mogi das Cruzes,SP,2023,Municipal,295.73,288.31,6.400667,6.4,6,,Anos Finais
4210035,421003,Luzerna,SC,2023,Municipal,294.19,295.02,6.486833,6.4,,,Anos Finais
5207501,520750,Estrela do Norte,GO,2023,Municipal,295.49,288.7,6.403167,6.4,,,Anos Finais
5218805,521880,Rio Verde,GO,2023,Municipal,291.51,290.8,6.371833,6.4,,,Anos Finais
2306207,230620,Itaiçaba,CE,2023,Municipal,287.43,289.23,6.277667,6.3,,,Anos Finais
2313906,231390,Uruoca,CE,2023,Municipal,307.7,270.82,6.308667,6.3,,,Anos Finais
2605103,260510,Custódia,PE,2023,Municipal,307.79,279.18,6.4495,6.3,,,Anos Finais
2910107,291010,Dom Basílio,BA,2023,Municipal,300.58,286.83,6.456833,6.3,,,Anos Finais
2919405,291940,Licínio de Almeida,BA,2023,Municipal,288.71,290.75,6.324333,6.3,,,Anos Finais
3527108,352710,Lins,SP,2023,Municipal,299.93,285.1,6.417167,6.3,7,,Anos Finais
