municipio;uf;mun/uf;ano;estado;ibge_id;categoria;total;id;total_ipca;ano_formatado;ano_corrigido
Coari;AM;Coari/AM;1999;Amazonas;1301209;Até 5%;3.425.954,99;1301209_1999_Até 5%;15787002.9719235;12/1999;1999-12-01
Coari;AM;Coari/AM;1999;Amazonas;1301209;Excedentes a 5%;3.034.964,76;1301209_1999_Excedentes a 5%;13985296.8955097;12/1999;1999-12-01
Codajás;AM;Codajás/AM;1999;Amazonas;1301308;Excedentes a 5%;37.053,96;1301308_1999_Excedentes a 5%;170746.83653142;12/1999;1999-12-01
Manaus;AM;Manaus/AM;1999;Amazonas;1302603;Até 5%;115.877,54;1302603_1999_Até 5%;533970.549437714;12/1999;1999-12-01
Manaus;AM;Manaus/AM;1999;Amazonas;1302603;Excedentes a 5%;900.118,65;1302603_1999_Excedentes a 5%;4147799.91100634;12/1999;1999-12-01
Acari;RN;Acari/RN;1999;Rio Grande do Norte;2400109;Até 5%;10.328,78;2400109_1999_Até 5%;47595.6283816629;12/1999;1999-12-01
Açu;RN;Açu/RN;1999;Rio Grande do Norte;2400208;Até 5%;750.096,71;2400208_1999_Até 5%;3456489.94939072;12/1999;1999-12-01
Açu;RN;Açu/RN;1999;Rio Grande do Norte;2400208;Excedentes a 5%;289.321,82;2400208_1999_Excedentes a 5%;1333212.03737773;12/1999;1999-12-01
Afonso Bezerra;RN;Afonso Bezerra/RN;1999;Rio Grande do Norte;2400307;Até 5%;9.836,94;2400307_1999_Até 5%;45329.2006076918;12/1999;1999-12-01
Água Nova;RN;Água Nova/RN;1999;Rio Grande do Norte;2400406;Até 5%;9.836,94;2400406_1999_Até 5%;45329.2006076918;12/1999;1999-12-01
Alexandria;RN;Alexandria/RN;1999;Rio Grande do Norte;2400505;Até 5%;10.820,63;2400505_1999_Até 5%;49862.1022362247;12/1999;1999-12-01
Almino Afonso;RN;Almino Afonso/RN;1999;Rio Grande do Norte;2400604;Até 5%;9.836,94;2400604_1999_Até 5%;45329.2006076918;12/1999;1999-12-01
Alto do Rodrigues;RN;Alto do Rodrigues/RN;1999;Rio Grande do Norte;2400703;Até 5%;1.054.511,26;2400703_1999_Até 5%;4859250.17816616;12/1999;1999-12-01
Alto do Rodrigues;RN;Alto do Rodrigues/RN;1999;Rio Grande do Norte;2400703;Excedentes a 5%;406.165,67;2400703_1999_Excedentes a 5%;1871635.40037731;12/1999;1999-12-01
Antônio Martins;RN;Antônio Martins/RN;1999;Rio Grande do Norte;2400901;Até 5%;9.836,94;2400901_1999_Até 5%;45329.2006076918;12/1999;1999-12-01
Apodi;RN;Apodi/RN;1999;Rio Grande do Norte;2401008;Até 5%;778.280,03;2401008_1999_Até 5%;3586360.35279572;12/1999;1999-12-01
Apodi;RN;Apodi/RN;1999;Rio Grande do Norte;2401008;Excedentes a 5%;484.194,76;2401008_1999_Excedentes a 5%;2231198.05643149;12/1999;1999-12-01
Areia Branca;RN;Areia Branca/RN;1999;Rio Grande do Norte;2401107;Até 5%;1.684.592,43;2401107_1999_Até 5%;7762701.42967924;12/1999;1999-12-01
Areia Branca;RN;Areia Branca/RN;1999;Rio Grande do Norte;2401107;Excedentes a 5%;1.274.788,33;2401107_1999_Excedentes a 5%;5874299.92893261;12/1999;1999-12-01
Campo Grande;RN;Campo Grande/RN;1999;Rio Grande do Norte;2401305;Até 5%;9.836,94;2401305_1999_Até 5%;45329.2006076918;12/1999;1999-12-01
Baraúna;RN;Baraúna/RN;1999;Rio Grande do Norte;2401453;Até 5%;11.804,32;2401453_1999_Até 5%;54395.0038647575;12/1999;1999-12-01
Caicó;RN;Caicó/RN;1999;Rio Grande do Norte;2402006;Até 5%;15.739,11;2402006_1999_Até 5%;72526.7486206613;12/1999;1999-12-01
Caraúbas;RN;Caraúbas/RN;1999;Rio Grande do Norte;2402303;Até 5%;243.754,05;2402303_1999_Até 5%;1123233.06143855;12/1999;1999-12-01
Caraúbas;RN;Caraúbas/RN;1999;Rio Grande do Norte;2402303;Excedentes a 5%;85.264,35;2402303_1999_Excedentes a 5%;392903.161535441;12/1999;1999-12-01
Carnaúba dos Dantas;RN;Carnaúba dos Dantas/RN;1999;Rio Grande do Norte;2402402;Até 5%;9.836,94;2402402_1999_Até 5%;45329.2006076918;12/1999;1999-12-01
Carnaubais;RN;Carnaubais/RN;1999;Rio Grande do Norte;2402501;Até 5%;518.970,90;2402501_1999_Até 5%;2391448.56384753;12/1999;1999-12-01
Carnaubais;RN;Carnaubais/RN;1999;Rio Grande do Norte;2402501;Excedentes a 5%;183.372,53;2402501_1999_Excedentes a 5%;844991.450421572;12/1999;1999-12-01
Cerro Corá;RN;Cerro Corá/RN;1999;Rio Grande do Norte;2402709;Até 5%;10.328,78;2402709_1999_Até 5%;47595.6283816629;12/1999;1999-12-01
Coronel João Pessoa;RN;Coronel João Pessoa/RN;1999;Rio Grande do Norte;2402907;Até 5%;9.836,94;2402907_1999_Até 5%;45329.2006076918;12/1999;1999-12-01
Cruzeta;RN;Cruzeta/RN;1999;Rio Grande do Norte;2403004;Até 5%;9.836,94;2403004_1999_Até 5%;45329.2006076918;12/1999;1999-12-01
Currais Novos;RN;Currais Novos/RN;1999;Rio Grande do Norte;2403103;Até 5%;15.247,27;2403103_1999_Até 5%;70260.3208466902;12/1999;1999-12-01
Doutor Severiano;RN;Doutor Severiano/RN;1999;Rio Grande do Norte;2403202;Até 5%;9.836,94;2403202_1999_Até 5%;45329.2006076918;12/1999;1999-12-01
Encanto;RN;Encanto/RN;1999;Rio Grande do Norte;2403301;Até 5%;9.836,94;2403301_1999_Até 5%;45329.2006076918;12/1999;1999-12-01
Equador;RN;Equador/RN;1999;Rio Grande do Norte;2403400;Até 5%;9.836,94;2403400_1999_Até 5%;45329.2006076918;12/1999;1999-12-01
Felipe Guerra;RN;Felipe Guerra/RN;1999;Rio Grande do Norte;2403707;Até 5%;434.940,84;2403707_1999_Até 5%;2004233.08354407;12/1999;1999-12-01
Felipe Guerra;RN;Felipe Guerra/RN;1999;Rio Grande do Norte;2403707;Excedentes a 5%;208.881,67;2403707_1999_Excedentes a 5%;962539.074417418;12/1999;1999-12-01
Florânia;RN;Florânia/RN;1999;Rio Grande do Norte;2403806;Até 5%;9.836,94;2403806_1999_Até 5%;45329.2006076918;12/1999;1999-12-01
Francisco Dantas;RN;Francisco Dantas/RN;1999;Rio Grande do Norte;2403905;Até 5%;9.836,94;2403905_1999_Até 5%;45329.2006076918;12/1999;1999-12-01
Frutuoso Gomes;RN;Frutuoso Gomes/RN;1999;Rio Grande do Norte;2404002;Até 5%;9.836,94;2404002_1999_Até 5%;45329.2006076918;12/1999;1999-12-01
Galinhos;RN;Galinhos/RN;1999;Rio Grande do Norte;2404101;Até 5%;9.836,94;2404101_1999_Até 5%;45329.2006076918;12/1999;1999-12-01
Galinhos;RN;Galinhos/RN;1999;Rio Grande do Norte;2404101;Excedentes a 5%;526,82;2404101_1999_Excedentes a 5%;2427.61768030955;12/1999;1999-12-01
Governador Dix-Sept Rosado;RN;Governador Dix-Sept Rosado/RN;1999;Rio Grande do Norte;2404309;Até 5%;420.785,70;2404309_1999_Até 5%;1939005.36225168;12/1999;1999-12-01
Governador Dix-Sept Rosado;RN;Governador Dix-Sept Rosado/RN;1999;Rio Grande do Norte;2404309;Excedentes a 5%;220.535,51;2404309_1999_Excedentes a 5%;1016240.65755302;12/1999;1999-12-01
Grossos;RN;Grossos/RN;1999;Rio Grande do Norte;2404408;Até 5%;155.476,62;2404408_1999_Até 5%;716445.449274456;12/1999;1999-12-01
Grossos;RN;Grossos/RN;1999;Rio Grande do Norte;2404408;Excedentes a 5%;310.402,82;2404408_1999_Excedentes a 5%;1430354.5306745;12/1999;1999-12-01
Guamaré;RN;Guamaré/RN;1999;Rio Grande do Norte;2404507;Até 5%;1.402.114,14;2404507_1999_Até 5%;6461024.7828025;12/1999;1999-12-01
Guamaré;RN;Guamaré/RN;1999;Rio Grande do Norte;2404507;Excedentes a 5%;4.569.544,49;2404507_1999_Excedentes a 5%;21056730.9420392;12/1999;1999-12-01
Ipanguaçu;RN;Ipanguaçu/RN;1999;Rio Grande do Norte;2404705;Até 5%;10.328,78;2404705_1999_Até 5%;47595.6283816629;12/1999;1999-12-01
Ipueira;RN;Ipueira/RN;1999;Rio Grande do Norte;2404804;Até 5%;9.836,94;2404804_1999_Até 5%;45329.2006076918;12/1999;1999-12-01
Itajá;RN;Itajá/RN;1999;Rio Grande do Norte;2404853;Até 5%;9.836,94;2404853_1999_Até 5%;45329.2006076918;12/1999;1999-12-01
Itaú;RN;Itaú/RN;1999;Rio Grande do Norte;2404903;Até 5%;9.836,94;2404903_1999_Até 5%;45329.2006076918;12/1999;1999-12-01
Jandaíra;RN;Jandaíra/RN;1999;Rio Grande do Norte;2405108;Até 5%;9.836,94;2405108_1999_Até 5%;45329.2006076918;12/1999;1999-12-01
Janduís;RN;Janduís/RN;1999;Rio Grande do Norte;2405207;Até 5%;9.836,94;2405207_1999_Até 5%;45329.2006076918;12/1999;1999-12-01
Jardim de Piranhas;RN;Jardim de Piranhas/RN;1999;Rio Grande do Norte;2405603;Até 5%;10.328,78;2405603_1999_Até 5%;47595.6283816629;12/1999;1999-12-01
Jardim do Seridó;RN;Jardim do Seridó/RN;1999;Rio Grande do Norte;2405702;Até 5%;10.328,78;2405702_1999_Até 5%;47595.6283816629;12/1999;1999-12-01
João Dias;RN;João Dias/RN;1999;Rio Grande do Norte;2405900;Até 5%;9.836,94;2405900_1999_Até 5%;45329.2006076918;12/1999;1999-12-01
José da Penha;RN;José da Penha/RN;1999;Rio Grande do Norte;2406007;Até 5%;9.836,94;2406007_1999_Até 5%;45329.2006076918;12/1999;1999-12-01
Jucurutu;RN;Jucurutu/RN;1999;Rio Grande do Norte;2406106;Até 5%;11.804,32;2406106_1999_Até 5%;54395.0038647575;12/1999;1999-12-01
Lagoa Nova;RN;Lagoa Nova/RN;1999;Rio Grande do Norte;2406502;Até 5%;10.328,78;2406502_1999_Até 5%;47595.6283816629;12/1999;1999-12-01
Lucrécia;RN;Lucrécia/RN;1999;Rio Grande do Norte;2406908;Até 5%;9.836,94;2406908_1999_Até 5%;45329.2006076918;12/1999;1999-12-01
Luís Gomes;RN;Luís Gomes/RN;1999;Rio Grande do Norte;2407005;Até 5%;9.836,94;2407005_1999_Até 5%;45329.2006076918;12/1999;1999-12-01
Macau;RN;Macau/RN;1999;Rio Grande do Norte;2407203;Até 5%;1.903.156,13;2407203_1999_Até 5%;8769855.87027351;12/1999;1999-12-01
Macau;RN;Macau/RN;1999;Rio Grande do Norte;2407203;Excedentes a 5%;884.955,99;2407203_1999_Excedentes a 5%;4077929.47803773;12/1999;1999-12-01
Major Sales;RN;Major Sales/RN;1999;Rio Grande do Norte;2407252;Até 5%;9.836,94;2407252_1999_Até 5%;45329.2006076918;12/1999;1999-12-01
Marcelino Vieira;RN;Marcelino Vieira/RN;1999;Rio Grande do Norte;2407302;Até 5%;9.836,94;2407302_1999_Até 5%;45329.2006076918;12/1999;1999-12-01
