municipio,uf,mun/uf,ano,estado,ibge_id,categoria,total,id
Coari,AM,Coari/AM,1999,Amazonas,1301209,Até 5%,"3.425.954,99",1301209_1999_Até 5%
Coari,AM,Coari/AM,1999,Amazonas,1301209,Excedentes a 5%,"3.034.964,76",1301209_1999_Excedentes a 5%
Codajás,AM,Codajás/AM,1999,Amazonas,1301308,Excedentes a 5%,"37.053,96",1301308_1999_Excedentes a 5%
Manaus,AM,Manaus/AM,1999,Amazonas,1302603,Até 5%,"115.877,54",1302603_1999_Até 5%
Manaus,AM,Manaus/AM,1999,Amazonas,1302603,Excedentes a 5%,"900.118,65",1302603_1999_Excedentes a 5%
Acari,RN,Acari/RN,1999,Rio Grande do Norte,2400109,Até 5%,"10.328,78",2400109_1999_Até 5%
Açu,RN,Açu/RN,1999,Rio Grande do Norte,2400208,Até 5%,"750.096,71",2400208_1999_Até 5%
Açu,RN,Açu/RN,1999,Rio Grande do Norte,2400208,Excedentes a 5%,"289.321,82",2400208_1999_Excedentes a 5%
Afonso Bezerra,RN,Afonso Bezerra/RN,1999,Rio Grande do Norte,2400307,Até 5%,"9.836,94",2400307_1999_Até 5%
Água Nova,RN,Água Nova/RN,1999,Rio Grande do Norte,2400406,Até 5%,"9.836,94",2400406_1999_Até 5%
Alexandria,RN,Alexandria/RN,1999,Rio Grande do Norte,2400505,Até 5%,"10.820,63",2400505_1999_Até 5%
Almino Afonso,RN,Almino Afonso/RN,1999,Rio Grande do Norte,2400604,Até 5%,"9.836,94",2400604_1999_Até 5%
Alto do Rodrigues,RN,Alto do Rodrigues/RN,1999,Rio Grande do Norte,2400703,Até 5%,"1.054.511,26",2400703_1999_Até 5%
Alto do Rodrigues,RN,Alto do Rodrigues/RN,1999,Rio Grande do Norte,2400703,Excedentes a 5%,"406.165,67",2400703_1999_Excedentes a 5%
Antônio Martins,RN,Antônio Martins/RN,1999,Rio Grande do Norte,2400901,Até 5%,"9.836,94",2400901_1999_Até 5%
Apodi,RN,Apodi/RN,1999,Rio Grande do Norte,2401008,Até 5%,"778.280,03",2401008_1999_Até 5%
Apodi,RN,Apodi/RN,1999,Rio Grande do Norte,2401008,Excedentes a 5%,"484.194,76",2401008_1999_Excedentes a 5%
Areia Branca,RN,Areia Branca/RN,1999,Rio Grande do Norte,2401107,Até 5%,"1.684.592,43",2401107_1999_Até 5%
Areia Branca,RN,Areia Branca/RN,1999,Rio Grande do Norte,2401107,Excedentes a 5%,"1.274.788,33",2401107_1999_Excedentes a 5%
Campo Grande,RN,Campo Grande/RN,1999,Rio Grande do Norte,2401305,Até 5%,"9.836,94",2401305_1999_Até 5%
Baraúna,RN,Baraúna/RN,1999,Rio Grande do Norte,2401453,Até 5%,"11.804,32",2401453_1999_Até 5%
Caicó,RN,Caicó/RN,1999,Rio Grande do Norte,2402006,Até 5%,"15.739,11",2402006_1999_Até 5%
Caraúbas,RN,Caraúbas/RN,1999,Rio Grande do Norte,2402303,Até 5%,"243.754,05",2402303_1999_Até 5%
Caraúbas,RN,Caraúbas/RN,1999,Rio Grande do Norte,2402303,Excedentes a 5%,"85.264,35",2402303_1999_Excedentes a 5%
Carnaúba dos Dantas,RN,Carnaúba dos Dantas/RN,1999,Rio Grande do Norte,2402402,Até 5%,"9.836,94",2402402_1999_Até 5%
Carnaubais,RN,Carnaubais/RN,1999,Rio Grande do Norte,2402501,Até 5%,"518.970,90",2402501_1999_Até 5%
Carnaubais,RN,Carnaubais/RN,1999,Rio Grande do Norte,2402501,Excedentes a 5%,"183.372,53",2402501_1999_Excedentes a 5%
Cerro Corá,RN,Cerro Corá/RN,1999,Rio Grande do Norte,2402709,Até 5%,"10.328,78",2402709_1999_Até 5%
Coronel João Pessoa,RN,Coronel João Pessoa/RN,1999,Rio Grande do Norte,2402907,Até 5%,"9.836,94",2402907_1999_Até 5%
Cruzeta,RN,Cruzeta/RN,1999,Rio Grande do Norte,2403004,Até 5%,"9.836,94",2403004_1999_Até 5%
Currais Novos,RN,Currais Novos/RN,1999,Rio Grande do Norte,2403103,Até 5%,"15.247,27",2403103_1999_Até 5%
Doutor Severiano,RN,Doutor Severiano/RN,1999,Rio Grande do Norte,2403202,Até 5%,"9.836,94",2403202_1999_Até 5%
Encanto,RN,Encanto/RN,1999,Rio Grande do Norte,2403301,Até 5%,"9.836,94",2403301_1999_Até 5%
Equador,RN,Equador/RN,1999,Rio Grande do Norte,2403400,Até 5%,"9.836,94",2403400_1999_Até 5%
Felipe Guerra,RN,Felipe Guerra/RN,1999,Rio Grande do Norte,2403707,Até 5%,"434.940,84",2403707_1999_Até 5%
Felipe Guerra,RN,Felipe Guerra/RN,1999,Rio Grande do Norte,2403707,Excedentes a 5%,"208.881,67",2403707_1999_Excedentes a 5%
Florânia,RN,Florânia/RN,1999,Rio Grande do Norte,2403806,Até 5%,"9.836,94",2403806_1999_Até 5%
Francisco Dantas,RN,Francisco Dantas/RN,1999,Rio Grande do Norte,2403905,Até 5%,"9.836,94",2403905_1999_Até 5%
Frutuoso Gomes,RN,Frutuoso Gomes/RN,1999,Rio Grande do Norte,2404002,Até 5%,"9.836,94",2404002_1999_Até 5%
Galinhos,RN,Galinhos/RN,1999,Rio Grande do Norte,2404101,Até 5%,"9.836,94",2404101_1999_Até 5%
Galinhos,RN,Galinhos/RN,1999,Rio Grande do Norte,2404101,Excedentes a 5%,"526,82",2404101_1999_Excedentes a 5%
Governador Dix-Sept Rosado,RN,Governador Dix-Sept Rosado/RN,1999,Rio Grande do Norte,2404309,Até 5%,"420.785,70",2404309_1999_Até 5%
Governador Dix-Sept Rosado,RN,Governador Dix-Sept Rosado/RN,1999,Rio Grande do Norte,2404309,Excedentes a 5%,"220.535,51",2404309_1999_Excedentes a 5%
Grossos,RN,Grossos/RN,1999,Rio Grande do Norte,2404408,Até 5%,"155.476,62",2404408_1999_Até 5%
