ibge_id,cd_mun,uf,municipio,Total geral,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
3301009,330100,RJ,Campos dos Goytacazes,"R$ 37.758.646.692,79","R$ 262.887.366,17","R$ 644.268.753,74","R$ 809.184.311,70","R$ 1.111.213.748,80","R$ 1.558.947.015,35","R$ 1.664.270.986,03","R$ 2.047.166.118,51","R$ 2.383.702.783,74","R$ 2.094.761.161,11","R$ 2.947.859.255,07","R$ 2.194.456.732,67","R$ 2.519.653.792,94","R$ 2.640.348.187,69","R$ 2.377.018.702,48","R$ 2.509.874.166,80","R$ 2.182.711.208,02","R$ 1.021.919.649,37","R$ 585.980.449,01","R$ 700.633.479,86","R$ 966.024.999,31","R$ 628.980.363,98","R$ 386.156.664,13","R$ 749.710.814,12","R$ 1.182.623.084,78","R$ 870.872.558,02","R$ 717.420.339,41"
3302700,330270,RJ,Maricá,"R$ 26.514.920.897,34",,"R$ 5.161,71",,,"R$ 1.876.881,03","R$ 10.815.405,18","R$ 15.063.166,98","R$ 16.295.998,66","R$ 14.929.089,93","R$ 17.722.765,20","R$ 53.836.996,45","R$ 84.642.012,75","R$ 147.262.032,47","R$ 223.716.802,84","R$ 292.842.515,75","R$ 437.185.095,39","R$ 470.522.549,39","R$ 566.931.893,96","R$ 1.198.440.921,25","R$ 2.165.033.989,22","R$ 2.255.922.214,95","R$ 2.009.832.653,22","R$ 3.460.104.294,53","R$ 4.858.527.777,12","R$ 4.264.753.060,33","R$ 3.948.657.619,03"
3302403,330240,RJ,Macaé,"R$ 23.542.851.651,63","R$ 171.509.774,44","R$ 362.776.321,89","R$ 457.353.910,89","R$ 706.813.662,84","R$ 840.316.273,26","R$ 891.996.922,72","R$ 1.023.236.096,48","R$ 1.141.899.728,29","R$ 949.439.314,95","R$ 1.265.471.584,21","R$ 858.033.487,52","R$ 1.016.903.779,83","R$ 1.036.011.190,03","R$ 1.067.391.622,78","R$ 994.025.890,13","R$ 980.257.176,61","R$ 589.316.088,21","R$ 451.535.133,70","R$ 597.700.032,79","R$ 872.344.933,45","R$ 826.661.649,21","R$ 783.896.745,31","R$ 1.170.028.806,31","R$ 1.634.074.580,16","R$ 1.409.416.446,14","R$ 1.444.440.499,51"
3303302,330330,RJ,Niterói,"R$ 18.816.102.371,55","R$ 963.266,13","R$ 739.044,03","R$ 433.442,37","R$ 523.841,50","R$ 14.730.379,57","R$ 81.817.230,73","R$ 113.723.093,00","R$ 139.354.514,92","R$ 125.236.665,81","R$ 128.426.681,83","R$ 82.188.146,07","R$ 96.074.502,45","R$ 138.549.858,54","R$ 203.789.217,10","R$ 266.526.063,33","R$ 395.090.020,73","R$ 410.138.431,88","R$ 489.519.523,88","R$ 1.039.035.013,87","R$ 1.906.278.929,44","R$ 1.905.680.481,72","R$ 1.520.075.505,29","R$ 2.528.713.635,56","R$ 2.864.403.090,25","R$ 2.414.126.119,58","R$ 1.949.965.671,99"
3304524,330452,RJ,Rio das Ostras,"R$ 11.763.751.707,64","R$ 97.817.981,53","R$ 286.251.845,10","R$ 363.007.110,62","R$ 577.901.164,12","R$ 662.521.343,65","R$ 668.980.889,23","R$ 807.700.102,85","R$ 869.904.996,31","R$ 646.419.570,68","R$ 836.363.930,40","R$ 572.713.935,07","R$ 682.234.921,03","R$ 709.097.599,36","R$ 630.703.278,87","R$ 627.645.371,93","R$ 561.916.104,73","R$ 229.482.286,38","R$ 142.114.950,10","R$ 174.847.024,39","R$ 279.710.506,99","R$ 195.079.203,72","R$ 142.483.823,97","R$ 234.690.173,53","R$ 306.744.627,88","R$ 237.694.102,44","R$ 219.724.862,76"
3300704,330070,RJ,Cabo Frio,"R$ 8.993.678.745,20","R$ 60.711.431,16","R$ 91.917.305,98","R$ 121.395.443,97","R$ 228.926.485,39","R$ 287.248.800,62","R$ 307.323.967,35","R$ 452.764.678,14","R$ 618.048.844,71","R$ 473.896.982,27","R$ 478.486.058,97","R$ 323.785.238,90","R$ 437.205.742,27","R$ 524.372.014,89","R$ 588.329.784,12","R$ 635.917.729,57","R$ 553.029.705,78","R$ 213.726.873,19","R$ 143.415.241,65","R$ 184.535.416,44","R$ 276.932.494,37","R$ 242.598.273,61","R$ 218.450.922,50","R$ 379.132.668,45","R$ 379.768.524,92","R$ 380.305.323,43","R$ 391.452.792,56"
3305505,330550,RJ,Saquarema,"R$ 8.604.176.927,13","R$ 4.860.676,83","R$ 8.013.089,33","R$ 10.417.135,05","R$ 13.451.545,45","R$ 15.813.700,56","R$ 12.512.323,24","R$ 13.841.140,82","R$ 14.899.198,73","R$ 11.465.299,04","R$ 15.800.055,44","R$ 12.013.226,11","R$ 13.406.651,46","R$ 16.066.100,75","R$ 18.878.132,17","R$ 24.102.689,68","R$ 28.568.086,20","R$ 44.230.509,19","R$ 46.439.925,67","R$ 108.135.861,01","R$ 146.794.171,15","R$ 284.386.978,57","R$ 604.831.166,86","R$ 1.080.100.325,59","R$ 2.119.252.891,09","R$ 1.862.768.384,35","R$ 2.073.127.662,79"
3520400,352040,SP,Ilhabela,"R$ 7.529.150.439,97","R$ 19.897.640,32","R$ 27.571.308,10","R$ 44.495.744,20","R$ 33.209.432,97","R$ 39.093.438,70","R$ 41.919.206,35","R$ 46.069.899,17","R$ 49.183.928,70","R$ 43.228.655,87","R$ 55.080.175,58","R$ 34.703.971,92","R$ 42.719.181,82","R$ 72.146.940,57","R$ 89.206.144,08","R$ 118.920.571,92","R$ 278.840.050,77","R$ 393.328.391,45","R$ 383.340.129,36","R$ 705.865.364,94","R$ 1.118.270.448,05","R$ 945.647.725,28","R$ 629.944.230,75","R$ 641.642.236,60","R$ 742.521.919,26","R$ 538.972.944,10","R$ 393.330.759,16"
3304557,330455,RJ,Rio de Janeiro,"R$ 6.338.389.230,93","R$ 8.689.866,88","R$ 11.444.691,89","R$ 11.507.867,40","R$ 21.682.648,26","R$ 48.477.672,07","R$ 104.522.584,51","R$ 129.718.152,74","R$ 184.219.399,56","R$ 161.988.946,07","R$ 167.036.768,09","R$ 108.270.010,02","R$ 136.834.838,31","R$ 162.943.605,02","R$ 194.455.618,16","R$ 188.591.799,25","R$ 232.396.065,88","R$ 165.619.599,94","R$ 151.729.129,01","R$ 266.615.984,76","R$ 483.536.007,31","R$ 491.915.838,51","R$ 427.753.329,80","R$ 637.310.005,42","R$ 750.563.684,41","R$ 588.558.269,55","R$ 502.006.848,12"
3305000,330500,RJ,São João da Barra,"R$ 6.275.346.366,36","R$ 24.706.745,46","R$ 47.679.534,31","R$ 62.815.665,90","R$ 18.669.865,65","R$ 100.702.227,71","R$ 117.639.917,75","R$ 129.842.305,56","R$ 153.674.088,43","R$ 123.305.195,88","R$ 407.233.588,07","R$ 407.406.217,91","R$ 465.590.519,85","R$ 540.299.189,24","R$ 407.027.339,07","R$ 440.380.674,80","R$ 428.246.181,47","R$ 262.870.440,87","R$ 148.365.035,02","R$ 171.392.873,93","R$ 234.317.406,24","R$ 172.802.610,07","R$ 124.412.787,83","R$ 240.547.488,08","R$ 370.462.265,13","R$ 354.630.600,77","R$ 320.325.601,37"
3204302,320430,ES,Presidente Kennedy,"R$ 5.706.031.313,48","R$ 613.980,79","R$ 1.735.073,40","R$ 2.747.555,83","R$ 680.101,19","R$ 15.281.505,69","R$ 39.159.088,81","R$ 34.529.628,25","R$ 33.973.868,89","R$ 53.412.094,40","R$ 161.966.096,62","R$ 191.660.065,98","R$ 254.855.038,56","R$ 447.405.146,19","R$ 471.742.477,92","R$ 492.228.098,82","R$ 517.616.267,42","R$ 341.061.405,34","R$ 256.032.119,66","R$ 317.509.255,47","R$ 451.398.178,74","R$ 383.157.587,44","R$ 198.106.554,03","R$ 347.763.893,93","R$ 279.661.775,33","R$ 211.335.383,46","R$ 200.399.071,34"
3304151,330415,RJ,Quissamã,"R$ 5.016.401.798,31","R$ 73.271.354,93","R$ 129.684.632,89","R$ 135.749.786,04","R$ 176.754.397,15","R$ 206.898.685,49","R$ 202.089.895,60","R$ 213.154.997,16","R$ 256.009.865,88","R$ 333.880.766,91","R$ 369.848.808,41","R$ 214.281.882,65","R$ 207.653.054,31","R$ 199.115.374,00","R$ 209.349.310,86","R$ 182.345.644,65","R$ 171.801.106,83","R$ 94.471.075,25","R$ 67.876.088,60","R$ 83.030.344,12","R$ 111.582.499,21","R$ 139.751.997,49","R$ 184.889.364,40","R$ 275.023.366,78","R$ 316.106.899,41","R$ 237.676.037,54","R$ 224.104.561,74"
3202801,320280,ES,Itapemirim,"R$ 3.905.715.795,18","R$ 1.673,79","R$ 1.978,09","R$ 1.351,56","R$ 2.767,32","R$ 2.837.183,82","R$ 14.169.493,97","R$ 8.847.932,30","R$ 6.491.537,42","R$ 28.557.234,79","R$ 45.884.981,88","R$ 30.197.422,88","R$ 52.944.935,94","R$ 254.675.610,73","R$ 318.312.938,09","R$ 325.761.952,04","R$ 356.471.671,27","R$ 235.423.492,75","R$ 202.562.218,32","R$ 252.868.396,98","R$ 360.400.454,53","R$ 360.246.969,95","R$ 190.096.129,85","R$ 286.299.785,94","R$ 223.811.226,87","R$ 175.676.953,07","R$ 173.169.501,03"
3301306,330130,RJ,Casimiro de Abreu,"R$ 3.840.467.644,41","R$ 27.889.261,00","R$ 45.146.373,65","R$ 58.689.460,08","R$ 96.103.258,01","R$ 105.222.828,70","R$ 97.511.116,31","R$ 167.937.267,17","R$ 233.051.409,46","R$ 180.144.071,69","R$ 202.348.672,32","R$ 136.723.146,11","R$ 165.661.029,39","R$ 213.646.326,75","R$ 228.423.274,43","R$ 233.104.540,08","R$ 199.559.825,42","R$ 84.940.979,87","R$ 56.925.190,34","R$ 72.301.286,29","R$ 120.407.407,02","R$ 102.413.873,96","R$ 83.046.786,47","R$ 135.188.919,30","R$ 298.214.711,20","R$ 262.737.610,03","R$ 233.129.019,34"
3550704,355070,SP,São Sebastião,"R$ 3.757.591.914,08","R$ 34.209.277,83","R$ 63.730.005,54","R$ 79.311.640,94","R$ 92.238.163,22","R$ 112.279.635,02","R$ 115.487.219,54","R$ 132.133.636,19","R$ 135.639.244,02","R$ 115.459.068,86","R$ 141.410.942,60","R$ 89.561.417,09","R$ 116.456.496,89","R$ 169.489.418,92","R$ 189.504.159,26","R$ 171.453.131,12","R$ 188.272.122,07","R$ 140.005.654,43","R$ 101.349.243,37","R$ 129.251.744,91","R$ 196.857.594,75","R$ 162.657.625,74","R$ 121.683.569,01","R$ 161.449.124,44","R$ 164.171.324,99","R$ 176.330.521,17","R$ 457.199.932,15"
