codmun,nomemun,estado_abrev,tx_mort_evit_aj_oms,posição estadual
520570,Córrego do Ouro,GO,"0,00000",
520710,Diorama,GO,"0,00000",
521920,Santa Cruz de Goiás,GO,"0,00000",
311040,Camacho,MG,"0,00000",
312790,Grupiara,MG,"0,00000",
313080,Ingaí,MG,"0,00000",
314660,Paiva,MG,"0,00000",
314780,Passa-Vinte,MG,"0,00000",
315500,Rio Doce,MG,"0,00000",
315910,Santana dos Montes,MG,"0,00000",
316490,São Sebastião do Rio Verde,MG,"0,00000",
316556,Sem-Peixe,MG,"0,00000",
316660,Serra da Saudade,MG,"0,00000",
510120,Araguainha,MT,"0,00000",
510530,Luciara,MT,"0,00000",
250073,Amparo,PB,"0,00000",
250590,Emas,PB,"0,00000",
251278,Riacho de Santo Antônio,PB,"0,00000",
250550,Vista Serrana,PB,"0,00000",
260545,Fernando de Noronha,PE,"0,00000",
220630,Miguel Leão,PI,"0,00000",
220855,Porto Alegre do Piauí,PI,"0,00000",
410315,Bom Jesus do Sul,PR,"0,00000",
410910,Guaporema,PR,"0,00000",
411065,Iracema do Oeste,PR,"0,00000",
241110,Ruy Barbosa,RN,"0,00000",
430192,Barra do Rio Azul,RS,"0,00000",
430195,Barra Funda,RS,"0,00000",
430258,Bozano,RS,"0,00000",
430355,Camargo,RS,"0,00000",
430469,Capitão,RS,"0,00000",
430511,Centenário,RS,"0,00000",
430637,Dilermando de Aguiar,RS,"0,00000",
430692,Engenho Velho,RS,"0,00000",
431046,Ipiranga do Sul,RS,"0,00000",
431065,Itati,RS,"0,00000",
431217,Mato Queimado,RS,"0,00000",
431235,Montauri,RS,"0,00000",
431262,Muliterno,RS,"0,00000",
431301,Nova Candelária,RS,"0,00000",
431849,São José do Inhacorá,RS,"0,00000",
431971,São Valentim do Sul,RS,"0,00000",
432032,Senador Salgado Filho,RS,"0,00000",
432285,Vespasiano Correa,RS,"0,00000",
420075,Alto Bela Vista,SC,"0,00000",
420209,Barra Bonita,SC,"0,00000",
420215,Belmonte,SC,"0,00000",
420517,Entre Rios,SC,"0,00000",
420785,Irati,SC,"0,00000",
421715,São Miguel da Boa Vista,SC,"0,00000",
