codigo_ibge,UF-Município,anomes_s,qtd_pes_pob,qtd_pes_baixa_renda,qtd_pes_acima_meio_sm,total,pop. IBGE 2024,% no cad unico,% pobreza
110001,Ro-Alta Floresta D Oeste,202503,4074,3761,3887,11722,22.853,"51,29%","17,83%"
110002,Ro-Ariquemes,202503,17883,12715,13704,44302,108.573,"40,80%","16,47%"
110003,Ro-Cabixi,202503,730,1001,1003,2734,5.690,"48,05%","12,83%"
110004,Ro-Cacoal,202503,13001,12667,14941,40609,97.637,"41,59%","13,32%"
110005,Ro-Cerejeiras,202503,2906,2138,2394,7438,16.975,"43,82%","17,12%"
110006,Ro-Colorado do Oeste,202503,1108,1962,2293,5363,16.588,"32,33%","6,68%"
110007,Ro-Corumbiara,202503,618,1300,1408,3326,8.001,"41,57%","7,72%"
110008,Ro-Costa Marques,202503,5235,2106,1976,9317,13.522,"68,90%","38,71%"
110009,Ro-Espigao D Oeste,202503,3230,5684,4577,13491,32.717,"41,24%","9,87%"
110010,Ro-Guajara-Mirim,202503,15530,6254,4756,26540,43.553,"60,94%","35,66%"
110011,Ro-Jaru,202503,7296,8574,8075,23945,55.583,"43,08%","13,13%"
110012,Ro-Ji-Parana,202503,17448,16420,18561,52429,139.359,"37,62%","12,52%"
110013,Ro-Machadinho D Oeste,202503,6308,6886,7323,20517,34.063,"60,23%","18,52%"
110014,Ro-Nova Brasilandia D Oeste,202503,3146,3383,3199,9728,16.504,"58,94%","19,06%"
110015,Ro-Ouro Preto do Oeste,202503,5395,5510,5683,16588,38.681,"42,88%","13,95%"
110018,Ro-Pimenta Bueno,202503,3188,4591,5802,13581,39.053,"34,78%","8,16%"
110020,Ro-Porto Velho,202503,124413,60908,64300,249621,514.873,"48,48%","24,16%"
110025,Ro-Presidente Medici,202503,4594,3498,4847,12939,20.518,"63,06%","22,39%"
110026,Ro-Rio Crespo,202503,543,728,730,2001,3.753,"53,32%","14,47%"
110028,Ro-Rolim de Moura,202503,4421,8562,8787,21770,62.559,"34,80%","7,07%"
110029,Ro-Santa Luzia D Oeste,202503,1438,1177,1666,4281,7.877,"54,35%","18,26%"
110030,Ro-Vilhena,202503,10860,13739,16235,40834,108.528,"37,63%","10,01%"
110032,Ro-Sao Miguel do Guapore,202503,2729,3666,4679,11074,22.267,"49,73%","12,26%"
110033,Ro-Nova Mamore,202503,7456,4754,3623,15833,28.496,"55,56%","26,17%"
110034,Ro-Alvorada D Oeste,202503,3348,2449,2235,8032,13.837,"58,05%","24,20%"
110037,Ro-Alto Alegre dos Parecis,202503,756,2150,1737,4643,12.263,"37,86%","6,16%"
110040,Ro-Alto Paraiso,202503,2898,3370,2988,9256,17.463,"53,00%","16,60%"
110045,Ro-Buritis,202503,5112,4203,3972,13287,30.729,"43,24%","16,64%"
110050,Ro-Novo Horizonte do Oeste,202503,1231,1830,1732,4793,8.056,"59,50%","15,28%"
110060,Ro-Cacaulandia,202503,697,1077,1288,3062,4.345,"70,47%","16,04%"
110070,Ro-Campo Novo de Rondonia,202503,1272,1821,1590,4683,9.225,"50,76%","13,79%"
110080,Ro-Candeias do Jamari,202503,9302,3851,4166,17319,24.163,"71,68%","38,50%"
110090,Ro-Castanheiras,202503,653,585,636,1874,3.456,"54,22%","18,89%"
110092,Ro-Chupinguaia,202503,2278,1281,1484,5043,10.129,"49,79%","22,49%"
110094,Ro-Cujubim,202503,3055,3532,2826,9413,15.883,"59,26%","19,23%"
110100,Ro-Governador Jorge Teixeira,202503,2067,2223,1387,5677,8.420,"67,42%","24,55%"
110110,Ro-Itapua do Oeste,202503,1788,2050,1661,5499,9.209,"59,71%","19,42%"
110120,Ro-Ministro Andreazza,202503,1572,1170,1354,4096,6.657,"61,53%","23,61%"
110130,Ro-Mirante da Serra,202503,1982,2106,2376,6464,9.740,"66,37%","20,35%"
110140,Ro-Monte Negro,202503,3587,2284,2316,8187,12.241,"66,88%","29,30%"
110143,Ro-Nova Uniao,202503,1873,1233,1382,4488,6.577,"68,24%","28,48%"
110145,Ro-Parecis,202503,915,767,1089,2771,4.390,"63,12%","20,84%"
110146,Ro-Pimenteiras do Oeste,202503,704,482,707,1893,2.311,"81,91%","30,46%"
110147,Ro-Primavera da Rondonia,202503,677,583,1167,2427,3.279,"74,02%","20,65%"
110148,Ro-Sao Felipe D Oeste,202503,454,892,1811,3157,5.605,"56,32%","8,10%"
110149,Ro-Sao Francisco do Guapore,202503,3436,3101,2735,9272,17.511,"52,95%","19,62%"
110150,Ro-Seringueiras,202503,2241,2930,2415,7586,12.954,"58,56%","17,30%"
110155,Ro-Teixeiropolis,202503,848,835,1104,2787,4.536,"61,44%","18,69%"
110160,Ro-Theobroma,202503,1349,1734,1717,4800,8.540,"56,21%","15,80%"
110170,Ro-Urupa,202503,2470,1372,1817,5659,11.377,"49,74%","21,71%"
110175,Ro-Vale do Anari,202503,2601,1845,2426,6872,8.265,"83,15%","31,47%"
110180,Ro-Vale do Paraiso,202503,1230,1261,1125,3616,6.843,"52,84%","17,97%"
120001,Ac-Acrelandia,202503,5825,2455,2205,10485,14.657,"71,54%","39,74%"
120005,Ac-Assis Brasil,202503,6484,1704,851,9039,8.573,"105,44%","75,63%"
120010,Ac-Brasileia,202503,13449,2978,2366,18793,27.841,"67,50%","48,31%"
120013,Ac-Bujari,202503,5223,2585,1558,9366,13.766,"68,04%","37,94%"
120017,Ac-Capixaba,202503,5168,1929,1746,8843,10.922,"80,97%","47,32%"
120020,Ac-Cruzeiro do Sul,202503,42053,12333,5821,60207,98.382,"61,20%","42,74%"
120025,Ac-Epitaciolandia,202503,7199,2245,1548,10992,19.739,"55,69%","36,47%"
120030,Ac-Feijo,202503,19008,6660,2123,27791,37.644,"73,83%","50,49%"
120032,Ac-Jordao,202503,6833,1301,611,8745,9.787,"89,35%","69,82%"
120033,Ac-Mancio Lima,202503,12754,2173,1233,16160,20.329,"79,49%","62,74%"
120034,Ac-Manoel Urbano,202503,7784,2204,1345,11333,12.776,"88,71%","60,93%"
120035,Ac-Marechal Thaumaturgo,202503,12512,2297,1260,16069,17.951,"89,52%","69,70%"
120038,Ac-Placido de Castro,202503,6138,2641,1873,10652,17.127,"62,19%","35,84%"
120039,Ac-Porto Walter,202503,7230,1610,843,9683,11.275,"85,88%","64,12%"
120040,Ac-Rio Branco,202503,102939,49989,38150,191078,387.852,"49,27%","26,54%"
120042,Ac-Rodrigues Alves,202503,9475,2122,1089,12686,15.537,"81,65%","60,98%"
120043,Ac-Santa Rosa do Purus,202503,4623,1023,659,6305,7.143,"88,27%","64,72%"
120045,Ac-Senador Guiomard,202503,8314,3563,2651,14528,22.352,"65,00%","37,20%"
120050,Ac-Sena Madureira,202503,26581,6393,3181,36155,43.916,"82,33%","60,53%"
