"Brasil, Unidade da Federação e Município",,cód ibge 6,Total 2010,Alfabetizadas 2010,Não alfabetizadas 2010,% não alfab,Total 2022,Alfabetizadas 2022,Não alfabetizadas,% não alfab 2022,Queda 2022 x 2010,
São João do Oeste/SC,SC,421625,4981,4929,52,"1,04%",5311,5263,48,"0,90%","13,43%",
Westfália/RS,RS,432377,2365,2319,46,"1,95%",2581,2554,27,"1,05%","46,22%",
São Caetano do Sul/SP,SP,354880,126533,124578,1955,"1,55%",140316,138689,1627,"1,16%","24,95%",
Rio Fortuna/SC,SC,421490,3667,3561,106,"2,89%",3981,3935,46,"1,16%","60,03%",
Balneário Camboriú/SC,SC,420200,88638,87310,1328,"1,50%",118644,117237,1407,"1,19%","20,85%",
Águas de São Pedro/SP,SP,350060,2275,2242,33,"1,45%",2414,2384,30,"1,24%","14,33%",
Bom Princípio/RS,RS,430235,9528,9365,163,"1,71%",10856,10717,139,"1,28%","25,16%",
São Vendelino/RS,RS,431975,1625,1606,19,"1,17%",1884,1859,25,"1,33%","-13,49%",
Salvador das Missões/RS,RS,431647,2251,2209,42,"1,87%",2464,2431,33,"1,34%","28,22%",
Florianópolis/SC,SC,420540,345835,338609,7226,"2,09%",454290,448109,6181,"1,36%","34,88%",
Feliz/RS,RS,430810,10253,10156,97,"0,95%",11608,11450,158,"1,36%","-43,87%",
Pomerode/SC,SC,421320,22562,22184,378,"1,68%",28320,27931,389,"1,37%","18,01%",
Dois Irmãos/RS,RS,430640,22204,21750,454,"2,04%",25512,25163,349,"1,37%","33,10%",
Teutônia/RS,RS,432145,22028,21588,440,"2,00%",26867,26499,368,"1,37%","31,43%",
Monte Belo do Sul/RS,RS,431238,2330,2274,56,"2,40%",2243,2212,31,"1,38%","42,50%",
Nova Petrópolis/RS,RS,431320,15792,15473,319,"2,02%",19414,19146,268,"1,38%","31,66%",
Blumenau/SC,SC,420240,247480,243104,4376,"1,77%",300035,295860,4175,"1,39%","21,30%",
Lagoa dos Três Cantos/RS,RS,431127,1354,1324,30,"2,22%",1440,1420,20,"1,39%","37,31%",
Harmonia/RS,RS,430955,3452,3380,72,"2,09%",4493,4430,63,"1,40%","32,77%",
Timbó/SC,SC,421820,29709,29169,540,"1,82%",38266,37719,547,"1,43%","21,36%",
