co_municipio,co_ibge,no_municipio,uf,ano,rede,saeb_matematica,saeb_lingua_portuguesa,saeb_padronizado,ideb,posição estado,ideb_meta,etapa
2708105,270810,Santana do Mundaú,AL,2023,Municipal,356.85,310.29,9.750727,9.8,,,Anos Iniciais
2307254,230725,Jijoca de Jericoacoara,CE,2023,Municipal,336.4,304.96,9.653818,9.7,,,Anos Iniciais
2702306,270230,Coruripe,AL,2023,Municipal,336.45,309.07,9.728545,9.7,,,Anos Iniciais
2709301,270930,União dos Palmares,AL,2023,Municipal,328.76,309.04,9728,9.7,,,Anos Iniciais
2305605,230560,Independência,CE,2023,Municipal,329.92,304.2,9.64,9.6,,,Anos Iniciais
2312908,231290,Sobral,CE,2023,Municipal,333.41,302.67,9.612182,9.6,,,Anos Iniciais
2703007,270300,Ibateguara,AL,2023,Municipal,331.23,302.35,9.606364,9.6,,,Anos Iniciais
2304004,230400,Coreaú,CE,2023,Municipal,330.28,298.88,9.543273,9.5,,,Anos Iniciais
2309003,230900,Mucambo,CE,2023,Municipal,324.69,296.47,9.499455,9.5,,,Anos Iniciais
2309409,230940,Novo Oriente,CE,2023,Municipal,326.81,295.13,9.475091,9.5,,,Anos Iniciais
2310506,231050,Pedra Branca,CE,2023,Municipal,324.73,296.51,9.500182,9.5,,,Anos Iniciais
2301257,230125,Ararendá,CE,2023,Municipal,330.6,290.72,9.394909,9.4,,,Anos Iniciais
2304269,230426,Deputado Irapuan Pinheiro,CE,2023,Municipal,321.34,289.29,9.356314,9.4,,,Anos Iniciais
3515905,351590,Floreal,SP,2023,Municipal,321.07,291.97,9.399888,9.3,1,,Anos Iniciais
2313203,231320,Tamboril,CE,2023,Municipal,316.23,283.49,9.15334,9.2,,,Anos Iniciais
2308351,230835,Milhã,CE,2023,Municipal,300.89,297.02,9.106592,9.1,,,Anos Iniciais
2308609,230860,Monsenhor Tabosa,CE,2023,Municipal,300.84,297.95,9.122547,9.0,,,Anos Iniciais
2709152,270915,Teotônio Vilela,AL,2023,Municipal,307.99,285.17,9.026634,9.0,,,Anos Iniciais
2703759,270375,Jequiá da Praia,AL,2023,Municipal,306.57,277.46,8.859353,8.9,,,Anos Iniciais
4126355,412635,Serranópolis do Iguaçu,PR,2023,Municipal,307.73,276.81,8.869672,8.9,,,Anos Iniciais
